"papel","segmento","cotacao","ffo_yield","dividend_yield","p_vp","valor_de_mercado","liquidez","qtd_de_imoveis","preco_do_m2","aluguel_por_m2","cap_rate","vacancia_media","endereco","data_atualizacao"
"BTCR11","Títulos e Val. Mob.",88,12.48,9.97,0.92,423289000,0,0,0,0,0,0,"","2023-04-13 00:29:07"
"BTLG11","Híbrido",94.56,5.1,9.34,0.96,1992090000,3870410,20,3996.52,185.81,4.65,0.51,"Estrada De Sao Goncalo, S/ Nº, Altura Aproximada Do Km 530, Humildes , Feira De Santana/BA, Brasil, 44135-000,Avenida Brigadeiro Faria Lima, 186, Pinheiros, Sao Paulo/SP, Brasil, 05426-200,Estrada Municipal Thereza Thomazella, 432, Bairro Dos Pires, Extrema/MG, Brasil, 00037-640,Estrada Ferreira Guedes, 784, Potuvera, Itapecerica Da Serra/SP, Brasil, 06885-150,Largo De Santana, 780, Santana, Sao Paulo/SP, Brasil, 02402-003,Estrada Rio Douro, 800, Mantiquira, Duque De Caxias/RJ, Brasil, 25245-810,Estrada Do Capuava, 1000, Chacara Ondas Verdes, Cotia/SP, Brasil, 06715-725,Rua Ronald Cladstone Negri, 557, Polo De Alta Tecnologia De Campinas Polo I, Campinas/SP, Brasil, 13069-472,Rodovia Ba535 Via Parafuso, Km 14, Cep 42849-000, Polo Logístico, Camacari/BA, Brasil, 42800-331,Br 116, 2271, Verife, Itaitinga/CE, Brasil, 61880-000,Rodovia Dom Gabriel Paulino Bueno Couto, Km 80,2, Esquina Com Via Dos Ipes, Bairro Do Jacaré, Cabreuva/SP, Brasil, 13315-000,Avenida Charles Goodyear, S/n, Cururuquara, Santana De Parnaiba/SP, Brasil, 06524-115,Rodovia Marechal Rondon, Km 536, 21500, Avenida, Aracatuba/SP, Brasil, 16027-231,Avenida Beirario, 5777, Distrito Industrial Deputado Simao Da Cunha, Santa Luzia/MG, Brasil, 33040-260,Rodovia Anhanguera, S/n, Km 308, Parque Residencial Candido Portinari, Ribeirao Preto/SP, Brasil, 14093-500,Rodovia Br470, 04, Machados, Navegantes/SC, Brasil, 88373-330,Avenida Alberto Soares Sampaio, S/n, Capuava, Maua/SP, Brasil, 09380-000,Avenida Francisco Roveri, S/n, Parque Almerinda Pereira Chaves, Jundiai/SP, Brasil, 13212-541,Rua Perola, 350, N/a, Jardim Santa Esmeralda, Hortolandia/SP, Brasil, 13186-546,Rua Dona Catharina Maria De Jesus, 400, Bonsucesso, Guarulhos/SP, Brasil, 07175-500","2023-04-13 00:29:07"
"BTRA11","Outros",85.09,11.69,11.58,0.61,286290000,496660,6,4.19,0.5,12,0,"Area Rural, Sn, N/a, Nova Maringa/MT, Brasil, 78445-000,Zona Rural, S/n, Zona Rural, Campo Verde/MT, Brasil, 78840-000,Area Rural, Sn, N/a, Sao Desiderio/BA, Brasil, 47820-000,Rodovia Br 364, Km 888, Campo Novo Do Parecis/MT, Brasil, 78360-000,Zona Rural, S/n, Zona Rural, Tapurah/MT, Brasil, 78573-000,Zona Rural, S/n, Zona Rural, Nova Mutum/MT, Brasil, 78450-000","2023-04-13 00:29:07"
"BTSG11","Híbrido",101,14.86,5.9,0.73,78276500,3610,1,4150.65,668.46,16.11,0,"Avenida dos Alecrins, 430, Distrito Industrial, Pouso Alegre, Minas Gerais, Brasil","2023-04-13 00:29:07"
"BTWR11","Lajes Corporativas",107,5.26,4.97,0.96,86591900,16,1,4316.64,247.68,5.74,0,"Rua Qd. B-27, Av. Dep. Jamel Cecílio, 56 - Jardim Goiás, Goiânia","2023-04-13 00:29:07"
"BVAR11","Outros",100.01,84.44,351.61,0.09,62560300,0,63,526.78,441.43,83.8,7.46,"Av. Portugal, 213 - Centro,Rua Nova, 163 - Bairro Santo Antonio,Rua dos Andradas, 1.307 / 1.315 - Centro,Rua Regente Feijó, 1.037 - Centro,Rua Antonio João, 59 - Lj 14 e 15 - Centro,Rua da Azenha, 795 - Bairro Azenha,Av. Getulio Vargas, 258 - Centro,Rua Marechal Deodoro, 1.315 - Centro,Av. Paraná, 321 - Centro,Rua Visconde de Pirajá, 138 -A - Ipanema,Av. Sete de Setembro, 740 - Centro,Rua Serra Dourada, 102 - S. Miguel Paulista,Rua James Holland, 422 - Barra Funda,Rua Duque de Caxias, 222 - Santo Antonio,Rua Desembargador Westphalen, 130 - Centro,Rua Dr. Deodato Wertheimer, 1.374 - Centro,Rua Direita, 25 - Centro - SP,Rua Teodoro Sampaio, 2.382 - Pinheiros,Rua Marechal Deodoro, 900 - Centro,Rua Dias da Cruz, 155 - Meier,Av. 13 de Maio, 53 - Altos - Centro,Av. Anhanguera, 5.520 - Bairro Setor Central,Av. Rio Branco, 637 - Cidade Alta,Rua Voluntários da Pátria, 167 - Centro,Rua João de Barros, 1812 - Encruzilhada ,Rua Maciel Pinheiro, 185 - Centro,Av. Presidente Kennedy, 09,Pça Ramos de Azevedo, 229,Rua Imperatriz Tereza Cristina, 57 - Boa Vista,Pça Dom Epaminondas, 131 - Centro,Rua Candido Mendes, 1.280 - Bairro Central,Av. Senhor dos Passos, 1.167 - Centro,Rua dos Americanos, 465 - Barra Funda,Rua 13 de Junho, 265 e Rua Antonio Joao, 59 (lojas 01 a 11),Rua Manoel Correa, 76 - Centro,Av. Eduardo Ribeiro, 390 - Centro,Rua dos Andradas, 1441 - Centro - Porto Alegre,Rua Oswaldo Cruz, 132,Rua Sete de Setembro, 12/34 - Boa Vista,Rua Conselheiro João Alfredo, 68 - Centro,Rua da Paz, 338 - Afogados,Rua Marechal Deodoro, 102 - Centro,Rua Sete de Setembro, 142 - Centro,Rua do Comercio, 352 - Centro,Rua Imperatriz Terreza Cristina, 35 - Boa Vista,Rua Senador Teodoro Pacheco, 1.074 - Centro,Av. Sete de Setembro, 941-A - Centro,Rua Barão do Rio Branco, 118,Rua Antonio João, 59 - Lj 12 e 13 - Centro,Av. Adolfo Pinheiro, 62 - Santo Amaro,Rua Major Facundo, 532 - Centro,Av. Portugal, 221 - Centro,Rua Riachuelo, 360 - Centro,Rua 13 de Junho, 265 - Centro,Av. Sete de Setembro, 238 - Centro,Av. Geronimo Monteiro, 299 - Centro,Pça XV de Novembro, 111,Rua Voluntários da Pátria, 29 - Centro,Rua Barão de Jundiaí, 955 - Centro,Rua Conselheiro João Alfredo, 38 Campina ,Pça Antonio Menck, 103 - Centro,Rua Carijós, 645 - Centro,Rua Grande, 517/523 - Centro","2023-04-13 00:29:07"
"CACR11","Híbrido",103.45,11.2,16.65,0.99,186979000,372042,0,0,0,0,0,"","2023-04-13 00:29:07"
"CARE11","Híbrido",2,-2.47,0,0.25,71539800,19937,1,0,0,0.36,0,"","2023-04-13 00:29:07"
"CBOP11","Lajes Corporativas",36.37,20.18,16.13,0.49,51463600,26774,1,3096.74,262,8.46,37.31,"Avenida Marcos Penteado Ulhôa Rodrigues, 939, Tamboré, Barueri - SP","2023-04-13 00:29:07"
"CCME11","Outros",99.58,3.45,4.41,0.99,248460000,20,0,0,0,0,0,"","2023-04-13 00:29:07"
"CCRF11","Títulos e Val. Mob.",84,9.03,13.42,0.88,132040000,3819,0,0,0,0,0,"","2023-04-13 00:29:07"
"CEOC11","Lajes Corporativas",55.04,10.79,11.31,0.7,99935900,44494,1,7757.91,997.59,12.86,0,"Avenida Joao Cabral De Mello Neto, 850, 2º, 3º, 4º, 8º, 9º,10º,11º E 12º Andares, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22775-057","2023-04-13 00:29:07"
"CJCT11","Lajes Corporativas",64.98,0.23,0,0.99,204037000,26177,1,9705.5,404.14,4.16,50.78,"Av. Magalhães de Castro, 4.800 - São Paulo/SP","2023-04-13 00:29:07"
"CNES11","Lajes Corporativas",29.52,4.32,4.47,0.33,87061800,3324,1,1250.54,179.78,14.38,54.6,"Avenida Maria Coelho Aguiar, 215, Jardim Sao Luis, Sao Paulo/SP, Brasil, 05805-000","2023-04-13 00:29:07"
"CORM11","Híbrido",81,11.44,4.91,0.97,82402600,0,3,7592.24,734,9.67,0,"Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha Ii, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170,Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha I, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170,Avenida Independencia, 565, Imóvel Porto Alegre, Independência, Porto Alegre/RS, Brasil, 00090-035","2023-04-13 00:29:07"
"CPFF11","Títulos e Val. Mob.",57.04,17.63,11.68,0.75,145627000,256295,0,0,0,0,0,"","2023-04-13 00:29:07"
"CPTR11","Títulos e Val. Mob.",96.32,5.16,13.92,0.98,398573000,1499680,0,0,0,0,0,"","2023-04-13 00:29:07"
"CPTS11","Títulos e Val. Mob.",77,0.77,14.07,0.88,2447280000,5300920,0,0,0,0,0,"","2023-04-13 00:29:07"
"CRFF11","Títulos e Val. Mob.",60.73,11.83,11.97,0.75,41906100,20671,0,0,0,0,0,"","2023-04-13 00:29:07"
"CTXT11","Lajes Corporativas",10.95,-19.49,0,0.32,34553700,2548,1,734.01,6.01,0.82,98.24,"Av. Roberto Zuccolo nº 555 Vila Leopoldina","2023-04-13 00:29:07"
"CVBI11","Títulos e Val. Mob.",85.39,14.27,14.2,0.9,940163000,1995190,0,0,0,0,0,"","2023-04-13 00:29:07"
"CXAG11","Outros",75.91,10.59,12.12,0.66,158699000,102906,32,2752.54,325.72,11.83,0,"AV OSVALDO ARANHA, 1316, PORTO ALEGRE - RS,AV BARAO DO RIO BRANCO, 2340, JUIZ DE FORA - MG,PC APRIGIO DE TOLEDO, 16, ATIBAIA - SP,AV RUI BARBOSA, 790, MACAÉ - RJ,AV DANIEL JARDIM DE GRISOLIA, 117, ITABIRA - MG,R CEL FALKENBACH, 951, SOLEDADE - RS,AV TERESOPOLIS, 3235, PORTO ALEGRE - RS,R MIGUEL PRISCO, 40, RIBEIRÃO PIRES - SP,R COMERCIO, 660, FREDERICO WESTPHALEN - RS,AV DOM HELDER CAMARA, 5.809, RIO DE JANEIRO - RJ,R. 7 DE SETEMBRO 1231, CACHOEIRA DO SUL - RS,R DR SANTOS, 103, MONTES CLAROS - MG,R JOSE ALBERTO PELUCIO, 63, BAEPENDI - MG,R CARVALHO DE SOUSA, 283, RIO DE JANEIRO - RJ,R DR LUCIO MALTA, 585, JACAREÍ - SP,R GAL BENTO MARTINS, 2926, URUGUAIANA - RS,R JACARANDA, 499, IPATINGA - MG,R JULIO DE CASTILHOS, 189, SANTA CRUZ DO SUL - RS,AV CESARIO DE MELO, 3166, RIO DE JANEIRO - RJ,R SAO JOSE, 667, PIRACICABA - SP,AV PARAGUASSU, 1725, CAPÃO DA CANOA - RS,R JULIO DE CASTILHOS, 915, OSÓRIO - RS,AV BRIG.LUIS ANTONIO, 900, SÃO PAULO - SP,R DR SIQUEIRA, 342, MAGÉ - RJ,AV TIRADENTES, 387, ARAGUARI - MG,R JULIO DE CASTILHOS, 1029, LAJEADO - RS,AV NOSSA SENHORA DE COPACABANA, 427, RIO DE JANEIRO - RJ,AV PEDRO II, 244, SÃO LOURENÇO - MG,PC GIOVANI BREDA, 1916, SÃO BERNARDO DO CAMPO - SP,R VER. MARINHO HEMETERIO OLIVEIRA, 80, QUEIMADOS - RJ,R CEL. HORACIO ALVES PEREIRA, 225, ELÓI MENDES - MG,R QUINZE DE NOVEMBRO, 570, PELOTAS - RS","2023-04-13 00:29:07"
"CXCE11B","Lajes Corporativas",38.67,12.19,11.99,0.59,66239800,22883,1,3133.45,424.65,13.55,0,"Av Presidente Vargas, 2655, Centro, Rio de Janeiro - RJ","2023-04-13 00:29:07"
"CXCI11","Títulos e Val. Mob.",75,2.78,11.6,0.83,154329000,68237,0,0,0,0,0,"","2023-04-13 00:29:07"
"CXCO11","Lajes Corporativas",67.69,12.92,12.77,0.68,265649000,164599,10,2853.4,391.52,13.72,0,"Av do contorno, nº8256, CEP 30170-050, Belo Horizonte, MG,Rua Pouso Alegre, nº2.342, CEP 31010-514, Belo Horizonte, MG,Rua José Loureiro, nº195, CEP 80010-000, Curitiba, PR,Rua Barão de Melgaço, nº 3465, CEP 78005-300, Cuiabá, MT,Rua Bento Gonçalves, nº2463, CEP 93510-365, Novo Hamburgo, RS,Av Brasil, nº6.266, CEP 85810-000, Cascavel, PR,Rua 7 de setembro, nº1314, CEP 89010-204, BLUMENAU, SC,Rua dos Andradas, nº1000, CEP 90020-007, Porto Alegre, RS,Av Julio de Castilhos, nº1358, CEP 95010-000, Caxias do Sul, RS,Setor Bancario Sul, Quadra 1 Bloco L, PJ, nº28, CEP 70070-927, Brasília, DF","2023-04-13 00:29:07"
"CXRI11","Títulos e Val. Mob.",61.8,11.25,10.76,0.77,97382000,18817,0,0,0,0,0,"","2023-04-13 00:29:07"
"CXTL11","Logística",343,1.75,44.13,0.74,18383800,11322,1,2199.78,311.59,14.16,0,"Rua Projetada A, 240, Distrito Industrial - Duque de Caxias/RJ","2023-04-13 00:29:07"
"DAMT11B","Híbrido",14.22,6.44,3.59,1.08,103882000,2236,1,1616.56,87.4,5.41,12.71,"Rua Itacolomi, 292, bairro Portão, Curitiba - PR","2023-04-13 00:29:07"
"DCRA11","Títulos e Val. Mob.",8.7,9.13,16.77,0.91,58628500,207366,0,0,0,0,0,"","2023-04-13 00:29:07"
"DEVA11","Títulos e Val. Mob.",52.79,15.46,24.05,0.53,741431000,5359680,0,0,0,0,0,"","2023-04-13 00:29:07"
"DMAC11","Residencial",13,-758.5,0,2.61,2029400,0,0,0,0,0,0,"","2023-04-13 00:29:07"
"DOMC11","Híbrido",439,0.09,0,4.39,1072830000,0,2,26629.7,159.88,0.6,35.76,"Avenida Armando Morais Sarmento, nº 100, Distrito Industrial de Queimados, Cidade de Queimados, Estado do Rio de Janeiro ,Rua José Versolato, 111, Centro, São Bernardo do Campo/SP.","2023-04-13 00:29:07"
"DOVL11B","Lajes Corporativas",1730,3.34,3.38,1.44,114882000,6790,2,6567.22,574.82,8.75,29.5,"Av.Gen. Justo, 365, Centro, Rio de Janeiro - RJ,Av.Gen. Justo, 375, Centro, Rio de Janeiro - RJ","2023-04-13 00:29:07"
"DPRO11","Híbrido",97.99,7.07,7.75,1,36403300,1705,1,2750.28,154.01,5.6,0,"Av. Prof. Vernon Krieble, 455 , Itapevi - SP","2023-04-13 00:29:07"
"DRIT11B","Lajes Corporativas",87.39,8.65,8.56,0.66,40485800,299,6,8095.47,874.55,10.8,7.79,"AV DAS NAÇÕES UNIDAS, 19707, SÃO PAULO - SP,AV BRIGADEIRO FARIA LIMA, 1306, SÃO PAULO - SP,RUA DO RÓCIO, 350, SÃO PAULO - SP,ALAMEDA SANTOS, 787, SÃO PAULO - SP,RUA RAMOS BATISTA, 198, SÃO PAULO - SP,RUA JAMES JOULE, 65, SÃO PAULO - SP","2023-04-13 00:29:07"
"DVFF11","Híbrido",62.25,6.71,11.81,0.71,68534100,39271,0,0,0,0,0,"","2023-04-13 00:29:07"
"EDFO11B","Lajes Corporativas",189.99,10.13,10.53,1.05,44837600,2525,1,125824,14029.89,11.15,0,"Avenida Paulista, 1728, São Paulo/SP (14º ANDAR)","2023-04-13 00:29:07"
"EDGA11","Lajes Corporativas",19.1,8.51,8.14,0.31,72810200,69343,1,2894.17,419.99,14.51,42.64,"Rua Da Quitanda, 86, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 00020-091","2023-04-13 00:29:07"
"EGAF11","Títulos e Val. Mob.",99.74,4.97,19.19,1.02,111382000,274658,0,0,0,0,0,"","2023-04-13 00:29:07"
"ELDO11B","Shoppings",1104.31,8.97,3.43,0.77,869375000,0,1,11436.4,1231.51,10.77,1.93,"Av. Rebouças, 3970, Pinheiros, São Paulo - SP","2023-04-13 00:29:07"
"EQIN11","Títulos e Val. Mob.",93.5,12.05,0,1.05,158757000,0,0,0,0,0,0,"","2023-04-13 00:29:07"
"EQIR11","Títulos e Val. Mob.",8.81,12.65,14.91,0.9,44270200,37281,0,0,0,0,0,"","2023-04-13 00:29:07"
"ERCR11","Híbrido",76000,-0.8,9.68,1.19,180576000,0,0,0,0,0,0,"","2023-04-13 00:29:07"
"ERPA11","Lajes Corporativas",122.98,3.7,5.7,0.9,61603400,5040,1,18246.3,1032.54,5.66,0,"Avenida Europa, 105 - Jardim Paulista","2023-04-13 00:29:07"
"EURO11","Logística",222.99,10.13,9.75,0.69,85613900,79464,7,723.89,80.45,11.11,0,"Rua Comandante Vergueiro da Cruz, 206,Rodovia Anhanguera , S/N KM 17,5,Av. Interlagos, 4455,Rodovia Anhanguera, s/n km 17,5,Av. Interlagos, 4.455,Rua Sargento Aquino, 136,Rua Sargento Aquino, 135/Rua Comandante Vergueiro da Cruz, 206","2023-04-13 00:29:07"
"EVBI11","Híbrido",93.95,8.09,9.49,0.94,157205000,19283,8,4918.74,334.37,6.8,0,"Rua Tito, nº 671 - Bairro Vila Romana - São Paulo - SP,RUA PROFESSOR LUCAS GARZES, 2435, SÃO PAULO/ SP,Avenida das Américas nº 6205 - Rio de Janeiro, - RJ,Rua Augusto Tolle,Rua Pompeu Vairo, 200/300, São Paulo/SP,Rua Joaquim Nabuco, 374,Av. São Camilo,RUA PROFESSOR LUCAS GARZES, 2401, SÃO PAULO/ SP","2023-04-13 00:29:07"
"EXES11","Títulos e Val. Mob.",103.05,6.68,6.32,1.02,27284400,0,0,0,0,0,0,"","2023-04-13 00:29:07"
"FAED11","Outros",144.99,12.35,12.55,0.67,93107900,52234,3,2449.7,320.84,13.1,0,"Rua Waldemar Silenci, 340, Sem Complemento, Cidade Jardim, Leme/SP, Brasil, 13614-370,Rodovia Regis Bittencourt, 199, Sem Complemento, Centro, Taboão Da Serra/SP, Brasil, 06768-000,Alameda Maria Tereza, 2000, Dois Córregos, Dois Córregos, Valinhos/SP, Brasil, 13278-181","2023-04-13 00:29:07"
"FAMB11B","Lajes Corporativas",780.01,-14.78,0,0.26,81745000,51967,1,1350.4,0,0,100,"Avenida Almirante Barroso, 174, 1º Subsolo Até 31º Andar, Centro, Rio De Janeiro/RJ, Brasil, 20031-004","2023-04-13 00:29:07"
"FATN11","Híbrido",94,8.97,10.72,0.95,114227000,133707,29,22590.5,1793.04,7.94,0,"Rua Funchal, 513,Rua Tabapuã, 627,Rua Iaiá, 150,Av. Luiz Carlos Berrini, 1461,Rua Sansão Alves dos Santos, 76,AL. Campinas, 457,Rua Fidêncio Ramos, 100,Rua Pequetita, 215,Avenida Doutor Cardoso de Melo, 1340,Rua Arizona, 1366,Av. Dr. Cardoso de Melo, 1608,Rua Doutor Renato Paes de Barros, 717,Rua Dr. Cardoso de Melo, 1855 ,Av. Paulista, 2022,Avenida Brigadeiro Faria Lima, 1234,Avenida Presidente Juscelino Kubitschek, 1726,Avenida Paulista, 925,Rua Gomes de Carvalho, 1329,Rua do Rócio, 220,Rua Funchal, 129,Rua Funchal, 573,Rua Tabapuã, 500,Rua Gomes de Carvalho, 1108,Rua do Rócio, 351,Avenida Engenheiro Luís Carlos Berrini, 105,Rua Gomes de Carvalho, 1306,Av. Paulista, 2022,Rua Helena. 235,Av. das Nações Unidas, 11857","2023-04-13 00:29:07"
"FCFL11","Outros",106.8,9.28,9.12,0.92,371024000,318352,1,11957.5,1182.61,9.89,0,"Rua Quata, 300, Sem Complemento, Vila Olímpia, São Paulo/SP, Brasil, 04546-042","2023-04-13 00:29:07"
"FEXC11","Títulos e Val. Mob.",83.5,1.72,9.76,8.26,8310020000,0,0,0,0,0,0,"","2023-04-13 00:29:07"
"FFCI11","Lajes Corporativas",182.03,2.32,0,0.87,671817000,0,9,16377.3,971.04,5.93,22.84,"Rua Surubim, 373, Brooklin Novo, São Paulo/SP,Alameda Santos, 1.800 - Jardins,Alameda Santos, 1163, Cerqueira César, São Paulo/SP,Praia do Flamengo nº 154, Flamengo, Rio de Janeiro/RJ,Rua Olimpiadas. 205, São Paulo SP,Av. Juscelino Kubitschek, 510, Itaim Bibi, São Paulo/SP,Rua Girassol, 555  Vila Madalena,Rua da Candelária nº 65, Centro, Rio de Janeiro/RJ,Avenida Paulista, 37, São Paulo/SP","2023-04-13 00:29:07"
"FGAA11","Híbrido",9.63,9.54,17.93,1,328360000,1055580,0,0,0,0,0,"","2023-04-13 00:29:07"
"FIGS11","Shoppings",46.13,10.32,9.91,0.6,131470000,131250,2,2015.5,220.56,10.94,11.12,"Av. Bartolomeu de Castro, 230, Guarulhos - SP,Av. Juscelino Kubitscheck de Oliveira, 5.308, Guarulhos - SP","2023-04-13 00:29:07"
"FIIB11","Híbrido",438.5,9.86,9.49,0.95,300373000,255022,11,541.57,59.33,10.95,1,"R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC,R. Otto Berner, nº 0 - Baiiro Gloria-Joinville-SC.,R. D. Francisca, 8300 - Dist. Indl - Joinville -SC,R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC,R. Silva Jardim, nº 0 - Bairro Atiradores-Joinville-SC,R. Alemanha, nº 0 - Bairro Gloria Joinville - SC,Rua Dona Francisca, 8.300 Distrito Industrial -.Joinville - SC,R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC,R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC,R. Silva Jardim, nº 0 - Bairro Gloria-Joinville-SC,Rua Dr. Nelson N Guimarães, S/N - Bairro Gloria - Joinville - SC","2023-04-13 00:29:07"
"FIIP11B","Híbrido",140.1,11.72,11.32,0.75,129895000,78010,7,1840.9,247.69,13.45,0,"AVENIDA GENERAL DAVID -SARNOFF, Nº 4.840 - CONTAGEM  MG,RUA DR. MELLO FREIRE S/N - SÃO PAULO  SP,RUA ALFREDO PINTO Nº 91 - SÃO JOSÉ DOS PINHAIS  PR,RUA JOÃO FURLAN, S/Nº - OSASCO  SP,AV. RONAT WALTER SODRE, Nº 2.800 - IBIPORÃ - PR,AVENIDA NILO PEÇANHA Nº 296, ESQUINA COM A VIA LIGHT - NOVA IGUAÇU  RJ,RUA A , QUADRA D LOTES 11, 12 E 13 - ILHÉUS  BA","2023-04-13 00:29:07"
"FISC11","Lajes Corporativas",165,0.15,1.35,1.43,280499000,0,4,20814.5,632.36,3.04,6.51,"Rodovia SC 401, KM 5,Rodovia SC 401, ao lado direito da rodovia no sentido Centro/Praia e ao lado direito do empreendimento SC-401 Square Corporate,Rua Alfredo Chaves, 1208 - Caxias do Sul/RS,Rodovia SC 401","2023-04-13 00:29:07"
"FISD11","Títulos e Val. Mob.",203.32,-21.06,0,2.72,218079000,0,1,0,0,0,0,"","2023-04-13 00:29:07"
"FIXX11","Títulos e Val. Mob.",85.78,7.32,0,1.39,321608000,0,0,0,0,0,0,"","2023-04-13 00:29:07"
"FLCR11","Títulos e Val. Mob.",94.36,16.56,14.84,0.96,59786900,60381,0,0,0,0,0,"","2023-04-13 00:29:07"
"FLMA11","Híbrido",122.47,8.63,8.54,0.76,169091000,62995,2,9607.69,911.83,9.49,0,"Rua Tabapuã, 500,RUA DAS OLIMPIADAS, 205","2023-04-13 00:29:07"
"FLRP11","Shoppings",1606,8.08,8.74,0.88,104763000,7234,1,2125.82,182.4,8.58,1.33,"Rodovia Virgílio Várzea, 587 - Saco Grande II - Monte Verde - Florianópolis","2023-04-13 00:29:07"
"FMOF11","Lajes Corporativas",52.15,0.89,0.86,0.44,26492600,1698,2,1569.09,155.46,9.91,37.84,"Rua Júlio Gonzales, 132,Rua Julio Gonzales, 132","2023-04-13 00:29:07"
"FPAB11","Lajes Corporativas",129.98,15.26,14.26,0.35,97485000,18262,2,2118.98,452.96,21.38,29.24,"Avenida Francisco Matarazzo, 1500 ,Avenida Francisco Matarazzo, 1.500","2023-04-13 00:29:07"
"FPNG11","Lajes Corporativas",68.68,12,12.21,0.4,70214600,45,7,7740.48,1096.02,14.16,23.11,"Rua Gonçalves da Guia, 8 - Itauna -MG,Rua Maria Luiza Santiago, 200 - Belo Horizonte MG,Rua Tabapuã, 500,Rua Antonio de Albuquerque, 195 - Belo Horizonte MG,Rua Amazonas, 4338 - Belo Horizonte MG,Rua Paraiba, 550 25º and. Belo Horizonte MG,Rua Levindo Lopes, 258 Belo Horizonte MG","2023-04-13 00:29:07"
"FRBR11","Títulos e Val. Mob.",103.71,9.11,0,1.04,575259000,0,0,0,0,0,0,"","2023-04-13 00:29:07"
"FTCE11B","Híbrido",2870,-2.75,7.69,1.01,2781450000,0,61,2201.15,47.05,2.14,4.66,"Praia Rasa, Buzios - RJ,Rua Miguel Couto, 98,Avenida Rio Branco nº45, centro, Rio de Janeiro,Gleba III da Rua de Acesso 2º Seguimento (Rua Projetada) - Niterói, RJ,Rua Dom Gerardo nº42, centro, Rio de Janeiro,Av. Presidente Antonio Carlos, 51, centro , Rio de Janeiro,Alberto de Campos, 100,Rua Conde de Bonfim nº149, centro, Rio de Janeiro,Rua das Laranjeiras, 149, Laranjeiras, Rio de Janeiro - RJ,Rua Visconde de Pirajá, 484 e 486,Travessa do Ouvidor nº9, centro, Rio de Janeiro,Fazenda cachoeirinha, Bom Despacho, Minas Gerais,Avenida Santos Dumont, 979, Setor Oeste, Itumbiara - GO,Rodovia Darly Santos - Vila Velha - ES,R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES,Rua Assunção 260, Botafogo,R. Machado de Assis, 40 - Flamengo, Rio de Janeiro - RJ, 22220-060,Rua Sete de Setembro nº155, centro, Rio de Janeiro,Praia Rasa, Búzios - RJ,Praia Rasa, Buzios - RJ,Rua Buenos Aires nº48, centro, Rio de Janeiro,Rua Conde de Irajá, nº 439, Botafogo, Rio de Janeiro - RJ,Praia Rasa, Búzios - RJ,Rua Dom Gerardo nº46, centro, Rio de Janeiro,Rua Primeiro de Março nº19, centro, Rio de Janeiro,Sorocaba, 420, 422 e 436,Rodovia Darly Santos, S/n°, Gleba I, Vila Velha  ES,Avenida Marechal Camara nº160, centro, Rio de Janeiro,Avenida Epitácio pessoa, 3744 e 3800,Rua Uruguaiana nº 76, centro, Rio de Janeiro,Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro,Largo de Santa Rita, 10, Centro, Rio de Janeiro,Praia Rasa, Búzios - RJ,Rua Arturo Toscanini, Belo Horizonte - MG,Rua Teófilo Otoni, 82. Centro. Rio de Janeiro.,Rua Ministro Raul Fernandes, 116, Botafogo, Rio de Janeiro - RJ,Rua Teofilo Otoni 24,Praia Rasa, Búzios - RJ,Av. Mem de Sá, 102, Centro, Rio de Janeiro.,Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ,Rodovia Amaral Peixoto, Km 107, Quadra 20, Lote 9, S/n - Balneario São Pedro, São Pedro da Aldeia,Praia Rasa, Búzios - RJ,Rua Guarda Mor Custódio, Centro, Itabira - MG,Rainha Guilhermina, 75 , Leblon,Visconde de Inhaúma, 95,Rua Elesbão Linhares, n 503, Vitória - ES,R. Euríco Manoel do Carmo, 2 - Charitas, Niterói - RJ,Rua Barão da Torre, nº 662,Rua Uruguaiana nº 78, centro, Rio de Janeiro,Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro,Rua Lineu de Paula Machado, 708, Lagoa, Rio de Janeiro - RJ,Hotel Gloria,Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ,Rua da Carioca, centro, Rio de Janeiro,Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ,Av. Vereador Hermínio Moreira - Itaboraí, RJ,Praia Rasa, Búzios - RJ,Barão de Mesquita nº164, Rio de Janeiro,Setor Hoteleiro Norte, Quadra 01, Área Especial A, Brasília - DF,Rua Senhor do Passos nº107, centro, Rio de
Janeiro,Praia Rasa, Búzios - RJ","2023-04-13 00:29:07"
